RunId,PlotId,MonStatus,MonStatusOrder,TreeSpecies,TreeExpansionFactor,Diameter,TreeHeight,CrownBaseHeight,TreeStatus,CrownClass,CrownRatio,BoleCharHeight,CrownScorch%,ScorchHeight,CKR,BeetleDamage,EquationType,FlLe/ScHt,FS,Severity,BehaveProbability,FOFEMProbability,AbsoluteDifference
100,CS-PICO-5-25-30-3,30,3,PICO,100,5,25,,,,30,,,,,,CRNSCH,3,S,,33,34,0.0337816,
101,CS-PIEC2-5-25-30-3,30,3,PIEC2,100,5,25,,,,30,,,,,,CRNSCH,3,S,,70,71,0.436977,
102,CS-PIEL-5-25-30-3,30,3,PIEL,100,5,25,,,,30,,,,,,CRNSCH,3,S,,60,60,0.407117,
103,CS-PIFL2-5-25-30-3,30,3,PIFL2,100,5,25,,,,30,,,,,,CRNSCH,3,S,,74,74,0.292583,
104,CS-PIGL2-5-25-30-3,30,3,PIGL2,100,5,25,,,,30,,,,,,CRNSCH,3,S,,71,72,0.35316,
105,CS-PIJE-5-25-30-3,30,3,PIJE,100,5,25,,,,30,,,,,,CRNSCH,3,S,,6,6,0.236831,
106,CS-PILA-5-25-30-3,30,3,PILA,100,5,25,,,,30,,,,,,CRNSCH,3,S,,11,11,0.316621,
107,CS-PIMO3-5-25-30-3,30,3,PIMO3,100,5,25,,,,30,,,,,,CRNSCH,3,S,,71,72,0.35316,
108,CS-PIPA2-5-25-30-3,30,3,PIPA2,100,5,25,,,,30,,,,,,CRNSCH,3,S,,0,0,0,
109,CS-PIPO-5-25-30-3,30,3,PIPO,100,5,25,,,,30,,,,,,CRNSCH,3,S,,6,6,0.236831,
110,CS-PIPU5-5-25-30-3,30,3,PIPU5,100,5,25,,,,30,,,,,,CRNSCH,3,S,,68,69,0.0859648,
111,CS-PIRE-5-25-30-3,30,3,PIRE,100,5,25,,,,30,,,,,,CRNSCH,3,S,,67,67,0.241227,
112,CS-PIRI-5-25-30-3,30,3,PIRI,100,5,25,,,,30,,,,,,CRNSCH,3,S,,66,66,0.115117,
113,CS-PISA2-5-25-30-3,30,3,PISA2,100,5,25,,,,30,,,,,,CRNSCH,3,S,,72,73,0.283293,
114,CS-PISE-5-25-30-3,30,3,PISE,100,5,25,,,,30,,,,,,CRNSCH,3,S,,56,56,0.400958,
115,CS-PIST-5-25-30-3,30,3,PIST,100,5,25,,,,30,,,,,,CRNSCH,3,S,,66,66,0.115117,
116,CS-PISY-5-25-30-3,30,3,PISY,100,5,25,,,,30,,,,,,CRNSCH,3,S,,74,74,0.292583,
117,CS-PITA-5-25-30-3,30,3,PITA,100,5,25,,,,30,,,,,,CRNSCH,3,S,,62,62,0.127461,
118,CS-PIVI2-5-25-30-3,30,3,PIVI2,100,5,25,,,,30,,,,,,CRNSCH,3,S,,72,73,0.283293,
119,CS-PLOC-5-25-30-3,30,3,PLOC,100,5,25,,,,30,,,,,,CRNSCH,3,S,,72,73,0.283293,
120,CS-POBA2-5-25-30-3,30,3,POBA2,100,5,25,,,,30,,,,,,CRNSCH,3,S,,68,69,0.0859648,
121,CS-POGR4-5-25-30-3,30,3,POGR4,100,5,25,,,,30,,,,,,CRNSCH,3,S,,69,69,0.466575,
122,CS-POHE4-5-25-30-3,30,3,POHE4,100,5,25,,,,30,,,,,,CRNSCH,3,S,,63,63,0.272053,
123,CS-POTR12-5-25-30-3,30,3,POTR12,100,5,25,,,,30,,,,,,CRNSCH,3,S,,28,95,66.7236,
124,CS-PRAM-5-25-30-3,30,3,PRAM,100,5,25,,,,30,,,,,,CRNSCH,3,S,,68,69,0.0859648,
125,CS-PREM-5-25-30-3,30,3,PREM,100,5,25,,,,30,,,,,,CRNSCH,3,S,,56,56,0.400958,
126,CS-PRPE2-5-25-30-3,30,3,PRPE2,100,5,25,,,,30,,,,,,CRNSCH,3,S,,66,66,0.115117,
127,CS-PRSE2-5-25-30-3,30,3,PRSE2,100,5,25,,,,30,,,,,,CRNSCH,3,S,,74,74,0.292583,
128,CS-PRVI-5-25-30-3,30,3,PRVI,100,5,25,,,,30,,,,,,CRNSCH,3,S,,68,69,0.0859648,
129,CS-PSME-5-25-30-3,30,3,PSME,100,5,25,,,,30,,,,,,CRNSCH,3,S,,11,12,0.438226,
130,CS-QUAG-5-25-30-3,30,3,QUAG,100,5,25,,,,30,,,,,,CRNSCH,3,S,,63,63,0.272053,
131,CS-QUBI-5-25-30-3,30,3,QUBI,100,5,25,,,,30,,,,,,CRNSCH,3,S,,66,66,0.115117,
132,CS-QUCH2-5-25-30-3,30,3,QUCH2,100,5,25,,,,30,,,,,,CRNSCH,3,S,,77,77,0.325616,
133,CS-QUDU-5-25-30-3,30,3,QUDU,100,5,25,,,,30,,,,,,CRNSCH,3,S,,72,73,0.283293,
134,CS-QUEL-5-25-30-3,30,3,QUEL,100,5,25,,,,30,,,,,,CRNSCH,3,S,,70,70,0.0162941,
135,CS-QUFA-5-25-30-3,30,3,QUFA,100,5,25,,,,30,,,,,,CRNSCH,3,S,,66,67,0.320856,
136,CS-QUGA4-5-25-30-3,30,3,QUGA4,100,5,25,,,,30,,,,,,CRNSCH,3,S,,74,75,0.190446,
137,CS-QUIM-5-25-30-3,30,3,QUIM,100,5,25,,,,30,,,,,,CRNSCH,3,S,,68,68,0.358848,
138,CS-QUIN-5-25-30-3,30,3,QUIN,100,5,25,,,,30,,,,,,CRNSCH,3,S,,70,70,0.0162941,
139,CS-QUKE-5-25-30-3,30,3,QUKE,100,5,25,,,,30,,,,,,CRNSCH,3,S,,74,74,0.292583,
